Atualizado em: 2026-04-06
"ICAO";"Estrangeira";"Razao";"Servico";"Endereco";"Cidade";"UF";"CEP";"Telefone";"Email";"Instrumento";"Data";"Ativa"
"";"..";"AERO AGRÍCOLA CAMPO NOVO LTDA.";"AEROAGRÍCOLA";"RUA PARANÁ , N° 763 - NE, BAIRRO CENTRO";"CAMPO NOVO DO PARECIS";"MT";"78.360-000";"(65) 9 8459 1278 / (65) 3382-2158";"aerocampo@bol.com.br, aluisiofinoto@hotmail.com";"PORTARIA Nº 9.485, DE 10 DE OUTUBRO DE 2022";"10/18/2022 12:00:00 AM";"ATIVA"
"";"..";"JM AVIAÇÃO AGRÍCOLA LTDA.";"AEROAGRÍCOLA";"AVENIDA QUATRO, Nº 541, SALA 08, CENTRO";"CHAPADÃO DO SUL";"MS";"79.560-000";"(65) 3382-2136 (65) 9 9995-1812";"jmaviacao.ms@hotmail.com";"PORTARIA Nº 9.806, DE 21 DE NOVEMBRO DE 2022";"11/23/2022 12:00:00 AM";"ATIVA"
"";"..";"RAMBO AVIAÇÃO AGRÍCOLA LTDA";"AEROAGRÍCOLA";"RUA DOS HANGARES, Nº 597 - DISTRITO INDUSTRIAL";"PRIMAVERA DO LESTE";"MT";"78.850-000";"(66) 3497-3149 / (66) 99638-3508 ";"ramboaviacao@hotmail.com / cleriareginamossmann@hotmail.com    ";"PORTARIA Nº 9449, DE 06 DE OUTUBRO DE 2022";"10/10/2022 12:00:00 AM";"ATIVA"
"";"..";"GUSTAVO BAZEGGIO DA ROCHA PULVERIZACAO EIRELI";"AEROAGRÍCOLA";"RUA DAS ORQUÍDEAS, NÚMERO 7, APT 304 BL B, BAIRRO / DISTRITO - CRUZEIRO";"UNAÍ";"MG";"38.626-028";"(38) 999963551";"gbazeggio@hotmail.com";"PORTARIA Nº 8.894, DE 19 DE AGOSTO DE 2022";"8/30/2022 12:00:00 AM";"ATIVA"
"";"";"AGROSSOL AEROAGRÍCOLA LTDA.";"AEROAGRÍCOLA";" RODOVIA SP 340, KM 236, NORTE, AEROPORTO DAS JABUTICABAS, S/Nº, ZONA RURAL, CAIXA POSTAL 50";"CASA BRANCA";"SP";"13.700-000";"(19) 3671-1245 / (19) 99644-1079";"agrossolfinanceiro@hotmail.com; financeiro@agrossol.com.br";"PORTARIA Nº 9.803, DE 21 DE NOVEMBRO DE 2022";"11/23/2022 12:00:00 AM";"ATIVA"
"";"..";"AEROAGRÍCOLA CATARINENSE LTDA.";"AEROAGRÍCOLA";"RUA VEREADOR JOÃO CRISÓSTOMO KRAISCH, N° 1918, RUA INOMINADA 2103, BAIRRO BRAÇO MIGUEL";"LUIZ ALVES";"SC";"89.128-000";"(16) 3953-2134 / (16) 3953-3140";"ciaoliveiraefiscal2013@gmail.com ";"PORTARIA Nº 9.935, DE 5 DE DEZEMBRO DE 2022";"12/9/2022 12:00:00 AM";"ATIVA"
"";"..";"PEC TÁXI AÉREO LTDA.";"AEROMÉDICO, TÁXI-AÉREO";"RUA CAPITÃO FRAZÃO, Nº 913 -  HANGAR PEC TÁXI AÉREO, AEROPORTO SANTA GENOVEVA";"GOIÂNIA";"GO";"74.671-410";"TEL: (62) 3242-2002  /  (62) 8168-2726";"ctm@voepec.com /  diretor@voepec.com";"PORTARIA Nº 9.581, DE 21 DE OUTUBRO DE 2022";"10/26/2022 12:00:00 AM";"ATIVA"
"";"..";"ASA AERO AGRÍCOLA LTDA";"AEROAGRÍCOLA";"PC NICOLAU FERES 150, BAIRRO MARTINS";"UBERLÂNDIA";"MG";"38.400-366";"(34) 3235-5884 / (34) 3235-2075";"angelofilho@netsite.com.br / legalização@famaempresarial.com";"PORTARIA Nº 8.909, DE 22 DE AGOSTO DE 2022";"8/30/2022 12:00:00 AM";"ATIVA"
"";"..";"VOARE TÁXI AÉREO LTDA";"AEROMÉDICO, TÁXI-AÉREO";" RODOVIA BR 432, ESTRADA DA MALACACHETA KM 16, S/N, AERÓDROMO POUSO DA ÁGUIA SWPD, ZONA RURAL";"CANTÁ";"RR";"69.390-000";"(95) 991645549 / (95) 99144-5548";"operacoes@voaretaxiaereo.com.br ";"PORTARIA Nº 10.468, DE 6 DE FEVEREIRO DE 2023";"2/14/2023 12:00:00 AM";"ATIVA"
"";"..";"FERREIRA & SOUZA AEROAGRICOLA LTDA";"AEROAGRÍCOLA";"RUA RIO DE JANEIRO, N° 234, CENTRO";"BOA ESPERANÇA";"PR";"87.390-000";"(44) 3552-1313 / (44) 9804-6652";"joaopaulo.f.souza@gmail.com";"PORTARIA Nº 13.089, DE 7 DE NOVEMBRO DE 2023";"11/22/2023 12:00:00 AM";"ATIVA"
"";"..";"HELISTAR TAXI AÉREO ESCOLA DE PILOTAGEM E ASSESSORIA AERONÁUTICA LTDA";"TÁXI-AÉREO";"AV. AYRTON SENNA, 2541 - RUA E - HANGAR 34, AEROPORTO DE JACAREPAGUÁ/RJ ";"RIO DE JANEIRO";"RJ";"22.775-002";"(21) 3282-9000 / 3325-2063";"operacoes@helistar.com.br";"PORTARIA Nº 8.654, DE 21 DE JULHO DE 2022";"8/2/2022 12:00:00 AM";"ATIVA"
"";"..";"D´TAPES AERO-AGRÍCOLA LTDA.";"AEROAGRÍCOLA";"RUA FARRAPOS, N° 617, CENTRO";"TAPES";"RS";"96.760-000";"(51) 3692 2065 / (51) 99197 6332";"dtapesaeroagricola@gmail.com";"PORTARIA Nº 9.819, DE 22 DE NOVEMBRO DE 2022";"11/23/2022 12:00:00 AM";"ATIVA"
"AZU";"AD";"AZUL LINHAS AÉREAS BRASILEIRAS S/A";"TRANSPORTE AÉREO NÃO REGULAR, TRANSPORTE AÉREO REGULAR";"AV. MARCOS PENTEADO ULHÔA RODRIGUES,N°939, 9° ANDAR TORRE JATOBÁ, COND. CASTELO BRANCO OFFICE PARK - TAMBORÉ";"BARUERI";"SP";"06.460-040";" (55) (11) 4134-9887 | Fax: (55)(11)4134-9890";"vanessa.reis@voeazul.com.br";"PORTARIA Nº 10.123, DE 23 DE DEZEMBRO DE 2022";"1/2/2023 12:00:00 AM";"ATIVA"
"";"..";"AVIAÇÃO AGRÍCOLA MANAIN LTDA.";"AEROAGRÍCOLA";"RUA DOS ANGELIS, Nº 62, JARDIM OLIVEIRAS";"SINOP";"MT";"78.552-442";"(66) 99982-1133";"aviacaoagricolamanain@hotmail.com";"PORTARIA Nº 9.158, DE 13 DE SETEMBRO DE 2022";"9/16/2022 12:00:00 AM";"ATIVA"
"";"..";"AGRIPAR AVIAÇÃO AGRÍCOLA LTDA.";"AEROAGRÍCOLA";"RODOVIA MS 162, KM12, S/N, AEROPORTO MUNICIPAL DE DOURADOS (SSDO) HANGAR 01 CX POSTAL 179, BAIRRO ZONA RURAL";"DOURADOS";"MS";"79.804-970";"11 2988 2730 / 11 98362 3664";"edimilsonguedes@alphaconsultoria.com ";"PORTARIA Nº 9.292, DE 26 DE SETEMBRO DE 2022";"9/29/2022 12:00:00 AM";"ATIVA"
"";"..";"MORANDI E MORANDI AVIAÇÃO AGRÍCOLA LTDA (EX - MARCOS MORANDI FILHO AVIAÇÃO AGRÍCOLA- EIRELI)";"AEROAGRÍCOLA";"AVENIDA DONA MADALENA, Nº 140, SALA B";"MIRASELVA";"PR";"86.615-000";"(43) 99153-4895 / (45) 99906-3520";"marcosmorandi63@hotmail.com";"PORTARIA Nº 13.663, DE 22 DE JANEIRO DE 2024";"1/29/2024 12:00:00 AM";"ATIVA"
"";"..";"ONSOLO AEROAGRÍCOLA LTDA";"AEROAGRÍCOLA";"RUA MATO GROSSO, Nº 303, CENTRO";"LIDIANÓPOLIS";"PR";"86.865-000";"(43) 991081190 / (43) 996258396";"onsolo@onsolo.com.br";"PORTARIA Nº 13.610, DE 17 DE JANEIRO DE 2024";"1/22/2024 12:00:00 AM";"ATIVA"
"";"..";"SENGER AVIAÇÃO AGRÍCOLA LTDA.";"AEROAGRÍCOLA, SERVIÇOS AÉREOS ESPECIALIZADOS - OUTROS";"RUA OCTAVIO DE CARVALHO, NR 394, CENTRO";"PONTA GROSSA";"PR";"84.016-310";". (42) 3086-8189 / (42) 99914-7768";"ossenger@yahoo.com.br ";"Portaria n° 13249, de 29/11/2023";"12/5/2023 12:00:00 AM";"ATIVA"
"";"..";"BRISTOW TAXI AEREO S.A. (EX: AERÓLEO TÁXI AÉREO)";"AEROMÉDICO, TÁXI-AÉREO";"AVENIDA FERNANDO MATTOS, N° 280, SALA 102, BARRA DA TIJUCA";"RIO DE JANEIRO";"RJ";"22.621-090";"(21) 32350950 / (22) 35188990";"gerentes@erahelicopters.com  ";"Portaria nº 7.802, de 14.04.2022";"4/14/2022 12:00:00 AM";"ATIVA"
"";"..";"SOLAR TÁXI AÉREO LTDA.";"AEROMÉDICO, TÁXI-AÉREO";"PRAÇA BRIGADEIRO EDUARDO GOMES, TERMINAL DE AVIAÇÃO GERAL, SALA 03 - BAIRRO VILA UNIÃO";"FORTALEZA";"CE";"60.422-721";"(85) 99319070 / 986855642";"cristiano@solartaxiaereo.com.br";"PORTARIA Nº 9.865, DE 24 DE NOVEMBRO DE 2022";"11/29/2022 12:00:00 AM";"ATIVA"
"";"..";"SANTO ANTÔNIO AVIAÇÃO AGRÍCOLA LTDA.";"AEROAGRÍCOLA";"RODOVIA BR 377 KM 01, S/N°, INTERIOR";"CRUZ ALTA";"RS";"98.005-970";"(55) 99725-8484";"stoantonioaviacao@gmail.com ";"PORTARIA Nº 9.264, DE 23 DE SETEMBRO DE 2022";"9/28/2022 12:00:00 AM";"ATIVA"
"";"..";"AEROSAT ENGENHARIA E AEROLEVANTAMENTOS LTDA.";"AEROLEVANTAMENTO";"RUA REINALDINO SCHAFFENBERG DE QUADROS, N° 1726, CRISTO REI";"CURITIBA";"PR";"80.050-435";"(41) 30169626 ";"peterson@aerosat.com.br     ";"PORTARIA Nº 9.575, DE 20 DE OUTUBRO DE 2022";"10/26/2022 12:00:00 AM";"ATIVA"
"";"..";"AERO STAR TÁXI AÉREO LTDA.";"AEROMÉDICO, TÁXI-AÉREO";"PRAÇA GAGO COUTINHO, S/N - AEROPORTO INTERNACIONAL DEP. LUÍS EDUARDO MAGALHÃES";"SALVADOR";"BA";"41.510-045";" (71) 36128600";"faturamento@aerostar.com.br";"PORTARIA Nº 13.484, DE 27 DE DEZEMBRO DE 2023";"1/2/2024 12:00:00 AM";"ATIVA"
"";"";"AEROCLUBE DE BAURU";"VOOS PANORÂMICOS";"AL. DR. OCTÁVIO PINHEIRO BRISOLLA, 19-100, JD. AEROPORTO";"BAURU";"SP";"17.012-191";"(14) 3234-7900";"secretaria@aeroclubebauru.com.br / diretoria@aeroclubebauru.com.br ";"Portaria nº 17256";"6/23/2025 12:00:00 AM";"ATIVA"
"";"..";"AMAZÔNIA AVIAÇÃO AGRÍCOLA LTDA. (EX HERINGER AV. AGR. LTDA.)";"AEROAGRÍCOLA";"  AERODROMO CMTE CARLOS AGNES, BR 010, KM 1341, SALA 02";"DAVINÓPOLIS";"MA";"65.927-000";"(99) 2101-2759 ";"financeiro@amazoniaaviacao.com.br";"PORTARIA Nº 10.143, DE 27 DE DEZEMBRO DE 2022";"1/2/2023 12:00:00 AM";"ATIVA"
"";"..";"CAMPONESA SERVIÇOS DE AVIAÇÃO AGRÍCOLA EIRELI (EX. CAMPONESA AVIAÇÃO AGRÍCOLA LTDA)";"AEROAGRÍCOLA";"ESTRADA ESTADUAL, KM 08, CAPIVARAS, S/N, ;BAIRRO DISTRITO 1";"TAPES";"RS";"96.760-000";"(53) 999024989";"camponesacontato@gmail.com";"PORTARIA Nº 10.338, DE 23 DE JANEIRO DE 2023";"1/26/2023 12:00:00 AM";"ATIVA"
"";"..";"BALSAS AVIAÇÃO AGRÍCOLA LTDA.";"AEROAGRÍCOLA";"RUA 15 DE NOVEMBRO, Nº 1188, QD. OWL2, LT. 0010, CENTRO ";"ARAGUAÍNA";"TO";"77.803-070";"(63) 3421-1561 / (63) 99941-7679";"evandro.cs@uol.com.br ";"PORTARIA Nº 8179, DE 30 DE MAIO DE 2022";"5/30/2022 12:00:00 AM";"ATIVA"
"";"..";"AEROAGRÍCOLA BOA SAFRA LTDA.";"AEROAGRÍCOLA";"RODOVIA MT 338 KM 90 + 03 KM À DIREITA ZONA RURAL, CAIXA POSTAL 75";"TAPURAH";"MT";"78.573-000";"(66) 3547-1337";"aerobs@terra.com.br";"PORTARIA Nº 8204, DE 01 DE JUNHO DE 2022";"6/1/2022 12:00:00 AM";"ATIVA"
"";"..";"BENTEVI AEROAGRÍCOLA LTDA (EX-SUPORTE AEROAGRICOLA EIRELI)";"AEROAGRÍCOLA";"AVENIDA GOVERNADOR LUIZ ROCHA, Nº 400, BLOCO B, SALA 02, BAIRRO SANTO AMARO";"BALSAS";"MA";"65.800-000";".";"financeiro@grupobonini.com.br";"PORTARIA Nº 9.262, DE 23 DE SETEMBRO DE 2022";"9/28/2022 12:00:00 AM";"ATIVA"
"";"..";"CAIRU TÁXI AÉREO LTDA.";"TÁXI-AÉREO";"ESTRADA DO AEROPORTO, S/Nº, AEROPORTO DE PIMENTA BUENO, ZONA RURAL";"PIMENTA BUENO";"RO";"76.970-000";"(69) 3451-0500";"cairutaxiaereo@hotmail.com";"PORTARIA Nº 7423, DE 04 DE MARÇO DE 2022";"3/4/2022 12:00:00 AM";"ATIVA"
"";"..";"G10 - AVIAÇÃO AGRÍCOLA E MANUT. ANVS LTDA.";"AEROAGRÍCOLA";"ESTRADA MUNICIPAL JOATÃO, SN, ZONA RURAL, DISTRITO DE ESPIGÃO DO LESTE";"SÃO FÉLIX DO ARAGUAIA";"MT";"78.670-000";"(15) 98202-8000";"bazzoneto17@gmail.com";"PORTARIA Nº 13.553, DE 9 DE JANEIRO DE 2024";"1/15/2024 12:00:00 AM";"ATIVA"
"";"..";"GEOJÁ MAPAS DIGITAIS E AEROLEVANTAMENTO LTDA.";"AEROLEVANTAMENTO";"AV. NOVA CANTAREIRA, Nº 2213, ANTIGO Nº 2225 - LOJA 2, TUCURUVI";"SÃO PAULO";"SP";"02.331-003";"(11) 2201-2592 / 2506-1373 / 2506-5427";"geoja@geoja.com.br";"PORTARIA Nº 8.616, DE 19 DE JULHO DE 2022";"7/25/2022 12:00:00 AM";"ATIVA"
"";"..";"BRASIL VIDA TÁXI AÉREO LTDA.";"AEROMÉDICO, TÁXI-AÉREO";"AVENIDA SANTOS DUMONT, Nº 1000, QUADRA 00, LOTE 00, SETOR AEROPORTO INTERNACIONAL SANTA GENOVEVA";"GOIÂNIA";"GO";"74.672-831";"(62) 39339113 / (62) 983050626";"opr@brasilvida.com.br";"PORTARIA Nº 8.638, DE 20 DE JULHO DE 2022";"7/25/2022 12:00:00 AM";"ATIVA"
"";"..";"AEROCARTA S.A. - ENGENHARIA DE AEROLEVANTAMENTOS";"AEROLEVANTAMENTO";"RUA MICHIGAN, 561, BROOKLIN PAULISTA";"SÃO PAULO";"SP";"04.566-000";"(11) 55434580";"aerocarta@aerocarta.com.br";"PORTARIA Nº 8.547, DE 11 DE JULHO DE 2022";"7/25/2022 12:00:00 AM";"ATIVA"
"";"..";"AERO AGRICOLA RONDONIA - SERVIÇOS DE AVIAÇÃO AGRÍCOLA LTDA";"AEROAGRÍCOLA";"ESTRADA LINHA 115, S/N, LOTE 29 A 01, GLEBA CORUMBIARA";"CHUPINGUAIA";"RO";"76.990-000";"(69) 98156-7225 / (12) 98285-2565 ";"carolinahinze@hotmail.com; mossmann.ac@hotmail.com ";"PORTARIA Nº 9.562, DE 19 DE OUTUBRO DE 2022";"10/26/2022 12:00:00 AM";"ATIVA"
"";"..";"AERO RUMOS SERVIÇOS AÉREOS ESPECIALIZADO LTDA (EX. AERO RUMOS LTDA)";"AEROCINEMATOGRAFIA, AEROFOTOGRAFIA, AEROINSPEÇÃO, AEROPUBLICIDADE, AEROREPORTAGEM, SERVIÇOS AÉREOS ESPECIALIZADOS - OUTROS";"R FREI MANOEL S/N QUADRA 46 LOTE 29 BAIRRO: DIOGO MACHADO DE ARAUJO";"LUZIÂNIA";"GO";"72.810-220";"(61) 98468109";"mggudolle@gmail.com   ";"PORTARIA Nº 9.059, DE 2 DE SETEMBRO DE 2022";"9/8/2022 12:00:00 AM";"ATIVA"
"";"..";"TORRES E TORRES LTDA.";"AEROAGRÍCOLA";"RUA PARA, 233, CENTRO, CENTRO COM. E EMP. GN";"GAÚCHA DO NORTE";"MT";"78.875-000";"(66) 9 8447-8084";"cmtebruno.torres@hotmail.com; barradasaero@gmail.com     ";"PORTARIA Nº 8.576, DE 13 DE JULHO DE 2022";"7/25/2022 12:00:00 AM";"ATIVA"
"";"..";"NHR TÁXI AÉREO LTDA.";"TÁXI-AÉREO";"RUA ISALTINO GUANABARA RODRIGUES DA COSTA, 1590, HANGAR 2";"SOROCABA";"SP";"18.065-480";"(15) 3318-2747 / (15) 32137800";"fabiana@nhrtaxiaereo.com";"PORTARIA Nº 10.184, DE 4 DE JANEIRO DE 2023";"1/6/2023 12:00:00 AM";"ATIVA"
"";"..";"COP SERVIÇOS AÉREOS ESPECIALIZADOS LTDA.";"AEROCINEMATOGRAFIA, AEROPUBLICIDADE, AEROREPORTAGEM";"AV. OLAVO FONTOURA, 1078, SETOR C, LOTE 4, BAIRRO SANTANA";"SÃO PAULO";"SP";"02.012-021";"(11) 2221-6733";"jair@helifly.com.br; cop@helifly.com.br";"PORTARIA Nº 7.335, DE 21 DE FEVEREIRO DE 2022";"2/21/2022 12:00:00 AM";"ATIVA"
"SUL";"0A";"ASTA LINHAS AÉREAS LTDA ( EX - AMÉRICA DO SUL LINHAS AÉREAS LTDA.)";"TRANSPORTE AÉREO NÃO REGULAR, TRANSPORTE AÉREO REGULAR";"AV GOVERNADOR JOÃO PONCE DE ARRUDA, S/N, HANGAR AMÉRICA DO SUL ANEXO AO AEROP. MAL RONDON. CAIXA POSTAL N° 156, NO BAIRRO CENTRO-NORTE";"ABARÉ";"MT";"78.110-900";"(65) 3614-2684 / (18) 2104-1000";"joao.cruz@voeasta.com.br";"PORTARIA Nº 9.550, DE 19 DE OUTUBRO DE 2022";"10/26/2022 12:00:00 AM";"ATIVA"
"";"..";"SKY ESCOLA DE AERONÁUTICA LTDA";"SERVIÇOS AÉREOS ESPECIALIZADOS - OUTROS";"  RUA APINAGES N°166 QD.117 LT.22 SETOR - SANTA GENOVEVA";"GOIÂNIA";"GO";"74.672-430";"(62)3991-6612 (34)99778-2209";"administrativo@voesky.com.br     ";"DECISÃO Nº 345";"5/12/2021 12:00:00 AM";"ATIVA"
"";"";"NORTÃO AVIAÇÃO AGRÍCOLA LTDA";"AEROAGRÍCOLA";"ESTRADA VITORIA NÚMERO 02 BAIRRO CHÁCARAS ";"VERA";"MT";"78.880-000";"(66) 99676-8897";"nortaoaviacao@gmail.com";"Portaria Nº 7.248/SPO";"2/11/2022 12:00:00 AM";"ATIVA"
"";"..";"AEROSAFRA AVIAÇÃO AGRÍCOLA LTDA.";"AEROAGRÍCOLA";"AERÓDROMO BRIGADEIRO EPPINGHAUS, GO 070, KM 05, QD H1, LT 143 - FAZENDA CAVEIRAS";"GOIÂNIA";"GO";"74.480-080";"(62) 3298-7778";"leopoldo@mineirosnet.com.br";"PORTARIA Nº 7.475";"3/8/2022 12:00:00 AM";"ATIVA"
"";"..";"GOLDENFLY SERVIÇOS AÉREOS ESPECIALIZADOS LTDA.";"AEROCINEMATOGRAFIA, AEROFOTOGRAFIA, AEROPUBLICIDADE, AEROREPORTAGEM";"ALAMEDA BIRMANIA, 149, PARTE, BAIRRO TAMBORÉ";"SANTANA DE PARNAÍBA";"SP";"06.543-195";"11 93497 7841";"goldenfly@goldenfly.com.br;  jaja@goldenfly.com.br";"PORTARIA Nº 7.757, DE 7 DE ABRIL DE 2022";"4/7/2022 12:00:00 AM";"ATIVA"
"";"..";"APOLO TÁXI AÉREO LTDA";"AEROMÉDICO, TÁXI-AÉREO";"VIA NINO GIANNOTTE, S/N, CHÁCARA 10-A, QUADRA 01, LOTE 01, ZONA RURAL";"SINOP";"MT";"78.559-899";" (66) 3532 4935";"apolotaxiaereo@hotmail.com";"PORTARIA Nº 7.355, DE 22 DE FEVEREIRO DE 2022";"2/22/2022 12:00:00 AM";"ATIVA"
"";"..";"AEROVERDE AVIAÇÃO AGRÍCOLA LTDA.";"AEROAGRÍCOLA, COMBATE A INCÊNDIOS";"ROD. BR 101, KM 176, CX POSTAL 25, JACUPEMBA   ";"ARACRUZ";"ES";"29.196-990";"(27) 33378267 / (27) 993099364";"aeroverde.ltda@hotmail.com  ";"PORTARIA Nº 9.942, DE 5 DE DEZEMBRO DE 2022";"12/9/2022 12:00:00 AM";"ATIVA"
"";"..";"A2 AVIAÇÃO AGRÍCOLA LTDA.";"AEROAGRÍCOLA, SERVIÇOS AÉREOS ESPECIALIZADOS - OUTROS";"RODOVIA MT 208, Nº 715, SALA II, ANEXO A ARADO IMPLEMENTOS AGRÍCOLAS, SETOR PARQUE DOS LAGOS";"ALTA FLORESTA";"MT";"78.580-000";"(66) 992477501";"a2@supremaagro.com.br";"PORTARIA Nº 7867, DE 26 DE ABRIL DE 2022";"4/26/2022 12:00:00 AM";"ATIVA"
"";"..";"SKY DREAM ESCOLA DE PILOTAGEM LTDA";"VOOS PANORÂMICOS";" RODOVIA BR 367, KM 77, 1331, C, MUTA";"PORTO SEGURO";"BA";"45.810-000";".(73) 988122847 / (73) 998472847";"escolaskydream@hotmail.com";"PORTARIA Nº 9.183, DE 15 DE SETEMBRO DE 2022";"9/21/2022 12:00:00 AM";"ATIVA"
"";"..";"AEROCLUBE DE ARARAS";"SERVIÇOS AÉREOS ESPECIALIZADOS - OUTROS";"AV. JOÃO ROSSI, N° 120, CHÁCARA SÃO FRANCISCO, CX. POSTAL 166 ";"ARARAS";"SP";"13.600-970";"(19) 3541-2755";"aeroclubeararassp@gmail.com    ";"Decisão n° 415";"9/9/2021 12:00:00 AM";"ATIVA"
"";"..";"PARATY SEAPLANE TÁXI AÉREO LTDA.";"AEROFOTOGRAFIA, AEROPUBLICIDADE";"RUA BERNARDINO DE CAMPOS, 999 - BAIRRO ALTO";"PIRACICABA";"SP";"13.419-100";"(19) 34333358 / (19) 982034423";"hangarpipa@hotmail.com";"PORTARIA Nº 10.153, DE 28 DE DEZEMBRO DE 2022";"1/2/2023 12:00:00 AM";"ATIVA"
"";"..";"CABAÇA AVIAÇÃO AGRÍCOLA LTDA.";"AEROAGRÍCOLA";"ROD PA 287, KM 11, S/N";"REDENÇÃO";"PA";"68.550-000";"(94) 99133-4885 / (94) 9137-6663";"cabacaaviacaoagricola@hotmail.com     ";"PORTARIA Nº 9.789, DE 21 DE NOVEMBRO DE 2022";"11/23/2022 12:00:00 AM";"ATIVA"
"";"..";"DPA - AVIAÇÃO AGRÍCOLA, COM. PEÇAS E MANUT. ANVS LTDA.";"AEROAGRÍCOLA";" RUA DANILO MARQUES MOURA, 270";"CACHOEIRA DO SUL";"RS";"96.503-217";"(51) 3723 0345";" contato@dpaviacao.com.br; erongso@gmail.com; contato@ejraero.com.br";"PORTARIA Nº 9.301, DE 26 DE SETEMBRO DE 2022";"9/29/2022 12:00:00 AM";"ATIVA"
"";"..";"ANDRADE AVIAÇÃO AGRÍCOLA LTDA";"AEROAGRÍCOLA";"RUA MARIA DALLA FIORA COSTA, Nº 85, BAIRRO RESIDENCIAL FIRENZZE";"PRIMAVERA DO LESTE";"MT";"78.850-000";"(66) 999868057";"adauto_andrade@terra.com.br";"PORTARIA Nº 9.184, DE 15 DE SETEMBRO DE 2022";"9/21/2022 12:00:00 AM";"ATIVA"
"";"..";"G2 AEROAGRÍCOLA LTDA";"AEROAGRÍCOLA";"RODOVIA MT 010, KM 50 + 10 KM A DIREITA, S/N.º, FAZENDA ESPERANÇA - NOVO ELDORADO";"IPIRANGA DO NORTE";"MT";"78.578-000";".(66) 996924241 ";" aeroagricola.g2@gmail.com";"PORTARIA Nº 9.350, DE 28 DE SETEMBRO DE 2022";"10/5/2022 12:00:00 AM";"ATIVA"
"";"..";"FERAX AVIAÇÃO AGRÍCOLA EIRELI";"AEROAGRÍCOLA";"RODOVIA BR 070, KM 376, AEROPORTO LUIZ EDUARDO MAGALHÃES, S/N, ZONA RURAL";"CAMPO VERDE";"MT";"78.840-000";"(66) 3419 2833 / (66) 9 9969-6108";"feraxaviacaoagricola@gmail.com ";"PORTARIA Nº 8.985, DE 29 DE AGOSTO DE 2022";"9/8/2022 12:00:00 AM";"ATIVA"
"";"..";"AUTOGIRO ESCOLA DE AVIAÇÃO EIRELI";"SERVIÇOS AÉREOS ESPECIALIZADOS - OUTROS";" TRAVESSA DO RAFAEL, N 118, SALA 01, BAIRRO CENTRO";"TAUBATÉ";"SP";"12.080-270";"(12) 98231-9614";" autogiro@girocoptero.com.br";"DECISÃO Nº 347";"5/20/2021 12:00:00 AM";"ATIVA"
"";"..";"IBITINGA AVIAÇÃO AGRÍCOLA LTDA";"AEROAGRÍCOLA";"RUA OVÍDIO BRAGA, Nº 446, JARDIM SÃO JORGE";"IBITINGA";"SP";"14.943-020";"(16) 3441-8799 (16) 99962 - 4146";"ibitinga.agricola@gmail.com";"PORTARIA Nº 9.265, DE 23 DE SETEMBRO DE 2022";"9/28/2022 12:00:00 AM";"ATIVA"
"";"";"AERO TIME ESCOLA DE AVIAÇÃO CIVIL LTDA";"VOOS PANORÂMICOS";"   AV. SANTOS DUMONT, 1883, ESPAÇO AERO EMPRESARIAL, SALA 801";"LAURO DE FREITAS";"BA";"42.702-400";"(71) 3901-0356 / (71) 99984-6662";"voe@aerotime.com.br  ";"PORTARIA Nº 15.669, DE 14 DE OUTUBRO DE 2024";"10/17/2024 12:00:00 AM";"ATIVA"
"";"..";"WDA TÁXI AÉREO LTDA.";"TÁXI-AÉREO";"AVENIDA AEROPORTO MARECHAL RONDON, S/N, BOX 1, BAIRRO AEROPORTO";"VÁRZEA GRANDE";"MT";"78.125-152";"(65) 36822288 / (65) 999821247 ";"contato@voewda.com.br";"PORTARIA Nº 8.529, DE 8 DE JULHO DE 2022";"8/11/2022 12:00:00 AM";"ATIVA"
"";"..";"AERO AGRÍCOLA MS LTDA.";"AEROAGRÍCOLA";"RUA VITÓRIA REGIA,Nº 26, FLOR DO CAMPO";"COSTA RICA";"MS";"79.550-000";"(17) 99238-3897";"comercialaeroagricolams@hotmail.com";"PORTARIA Nº 9.518, DE 14 DE OUTUBRO DE 2022";"10/26/2022 12:00:00 AM";"ATIVA"
"";"..";"AERO AGRÍCOLA ITAQUIENSE LTDA.";"AEROAGRÍCOLA";"RUA TITO CORRÊA LOPES, Nº 1248, BAIRRO CAFIFAS";"ITAQUI";"RS";"97.650-000";"(55) 34331484";"mossmann.ac@hotmail.com";"PORTARIA Nº 9.376, DE 30 DE SETEMBRO DE 2022";"10/5/2022 12:00:00 AM";"ATIVA"
"";"..";"MASTER ESCOLA DE AVIAÇÃO CIVIL LTDA";"SERVIÇOS AÉREOS ESPECIALIZADOS - OUTROS";"AVENIDA OLAVO FONTOURA, 1078, SETOR C, LOTE 7 - CAMPO DE MARTE";"SÃO PAULO";"SP";"02.012-021";".(11) 2089-6300 ";".goair@goair.com.br";"DECISÃO Nº 167";"9/30/2020 12:00:00 AM";"ATIVA"
"";"..";"SKYDIVE4FUN SERVIÇO AÉREO ESPECIALIZADO LTDA";"SERVIÇOS AÉREOS ESPECIALIZADOS - OUTROS";"RUA NOVE DE JULHO, CENTRO, N. 35, SALA 06 ";"BOITUVA";"SP";"1855000";"(19) 34520000 / (11) 981628640";"bruno_saran@yahoo.com.br; thot@thot.aero ";"PORTARIA Nº 8.964, DE 25 DE AGOSTO DE 2022";"8/30/2022 12:00:00 AM";"ATIVA"
